building_id,room_number,num_beds,private_bathrooms,has_kitchen,_ingested_at
1,101,2,TRUE,TRUE,2026-08-12T00:00:00Z
1,102,3,FALSE,TRUE,2026-08-12T00:00:00Z
1,103,2,FALSE,TRUE,2026-08-12T00:00:00Z
1,104,3,TRUE,FALSE,2026-08-12T00:00:00Z
1,105,2,FALSE,TRUE,2026-08-12T00:00:00Z
1,106,3,FALSE,TRUE,2026-08-12T00:00:00Z
1,107,2,TRUE,TRUE,2026-08-12T00:00:00Z
1,108,3,FALSE,FALSE,2026-08-12T00:00:00Z
1,109,2,FALSE,TRUE,2026-08-12T00:00:00Z
1,110,3,TRUE,TRUE,2026-08-12T00:00:00Z
1,111,2,FALSE,TRUE,2026-08-12T00:00:00Z
1,112,3,FALSE,FALSE,2026-08-12T00:00:00Z
2,201,2,TRUE,TRUE,2026-08-12T00:00:00Z
2,202,3,FALSE,TRUE,2026-08-12T00:00:00Z
2,203,2,FALSE,TRUE,2026-08-12T00:00:00Z
2,204,3,TRUE,FALSE,2026-08-12T00:00:00Z
2,205,2,FALSE,TRUE,2026-08-12T00:00:00Z
2,206,3,FALSE,TRUE,2026-08-12T00:00:00Z
2,207,2,TRUE,TRUE,2026-08-12T00:00:00Z
2,208,3,FALSE,FALSE,2026-08-12T00:00:00Z
2,209,2,FALSE,TRUE,2026-08-12T00:00:00Z
2,210,3,TRUE,TRUE,2026-08-12T00:00:00Z
2,211,2,FALSE,TRUE,2026-08-12T00:00:00Z
2,212,3,FALSE,FALSE,2026-08-12T00:00:00Z
3,301,2,TRUE,TRUE,2026-08-12T00:00:00Z
3,302,3,FALSE,TRUE,2026-08-12T00:00:00Z
3,303,2,FALSE,TRUE,2026-08-12T00:00:00Z
3,304,3,TRUE,FALSE,2026-08-12T00:00:00Z
3,305,2,FALSE,TRUE,2026-08-12T00:00:00Z
3,306,3,FALSE,TRUE,2026-08-12T00:00:00Z
3,307,2,TRUE,TRUE,2026-08-12T00:00:00Z
3,308,3,FALSE,FALSE,2026-08-12T00:00:00Z
3,309,2,FALSE,TRUE,2026-08-12T00:00:00Z
3,310,3,TRUE,TRUE,2026-08-12T00:00:00Z
3,311,2,FALSE,TRUE,2026-08-12T00:00:00Z
3,312,3,FALSE,FALSE,2026-08-12T00:00:00Z
4,401,2,TRUE,TRUE,2026-08-12T00:00:00Z
4,402,3,FALSE,TRUE,2026-08-12T00:00:00Z
4,403,2,FALSE,TRUE,2026-08-12T00:00:00Z
4,404,3,TRUE,FALSE,2026-08-12T00:00:00Z
4,405,2,FALSE,TRUE,2026-08-12T00:00:00Z
4,406,3,FALSE,TRUE,2026-08-12T00:00:00Z
4,407,2,TRUE,TRUE,2026-08-12T00:00:00Z
4,408,3,FALSE,FALSE,2026-08-12T00:00:00Z
4,409,2,FALSE,TRUE,2026-08-12T00:00:00Z
4,410,3,TRUE,TRUE,2026-08-12T00:00:00Z
4,411,2,FALSE,TRUE,2026-08-12T00:00:00Z
4,412,3,FALSE,FALSE,2026-08-12T00:00:00Z
5,501,2,TRUE,TRUE,2026-08-12T00:00:00Z
5,502,3,FALSE,TRUE,2026-08-12T00:00:00Z
5,503,2,FALSE,TRUE,2026-08-12T00:00:00Z
5,504,3,TRUE,FALSE,2026-08-12T00:00:00Z
5,505,2,FALSE,TRUE,2026-08-12T00:00:00Z
5,506,3,FALSE,TRUE,2026-08-12T00:00:00Z
5,507,2,TRUE,TRUE,2026-08-12T00:00:00Z
5,508,3,FALSE,FALSE,2026-08-12T00:00:00Z
5,509,2,FALSE,TRUE,2026-08-12T00:00:00Z
5,510,3,TRUE,TRUE,2026-08-12T00:00:00Z
5,511,2,FALSE,TRUE,2026-08-12T00:00:00Z
5,512,3,FALSE,FALSE,2026-08-12T00:00:00Z
6,601,2,TRUE,TRUE,2026-08-12T00:00:00Z
6,602,3,FALSE,TRUE,2026-08-12T00:00:00Z
6,603,2,FALSE,TRUE,2026-08-12T00:00:00Z
6,604,3,TRUE,FALSE,2026-08-12T00:00:00Z
6,605,2,FALSE,TRUE,2026-08-12T00:00:00Z
6,606,3,FALSE,TRUE,2026-08-12T00:00:00Z
6,607,2,TRUE,TRUE,2026-08-12T00:00:00Z
6,608,3,FALSE,FALSE,2026-08-12T00:00:00Z
6,609,2,FALSE,TRUE,2026-08-12T00:00:00Z
6,610,3,TRUE,TRUE,2026-08-12T00:00:00Z
6,611,2,FALSE,TRUE,2026-08-12T00:00:00Z
6,612,3,FALSE,FALSE,2026-08-12T00:00:00Z
